Time,avg_amount,tx_frequency,amount_std,hour_std,fraud_ratio,v1_mean,v2_mean,v3_mean,v4_mean
0,86.00076923076924,286,276.7488682493588,0.01572056504140231,0.0,-0.2408670892157226,0.16431867610197165,0.8280715046913899,0.36425288104008513
1,50.444225352112674,284,105.15334974021803,0.017610992235465403,0.0035211267605633804,-0.09540064166754045,0.2549349077949551,0.9181560416721469,0.3433868669284453
2,66.57052447552448,286,145.8357359620186,0.017880571535689446,0.0034965034965034965,-0.22250853312391794,0.2698697033852955,0.8311670581758561,0.14308717100812968
3,61.30894366197184,284,161.40537816737614,0.019069910680075637,0.0,-0.19937916815524462,0.21904058516131036,0.9511202291365548,0.17455903704292236
4,78.69091228070175,285,194.88478920622185,0.01777999818399799,0.0,-0.30488843113093106,0.23306748216354115,0.8246063501266387,0.1280465119598868
5,97.87747368421053,285,473.1310538324848,0.017259944899713962,0.0,-0.42397701711979535,0.11983121502430921,0.6925488167403514,-0.03899011257217177
6,38.21538732394366,284,92.55324553772691,0.016588615989461056,0.0,-0.5110926698355033,0.6258149960747322,0.8847315250804141,-0.06527813095642153
7,72.01740350877192,285,255.12477911107328,0.022596723291178428,0.0,-0.5017974479465032,0.4485438407553773,0.6829063293213509,0.07859952045485843
8,73.60041811846689,287,203.27232401808337,0.025338175097610636,0.0,-0.508625719066809,0.24070537967798555,0.962026242447083,0.06560492582489862
9,64.61979020979021,286,226.33816698701867,0.026347573968587553,0.0,-0.37520023114617673,0.3462990005278963,0.9314048015515712,0.09191968493992664
10,54.915195729537366,281,112.44864441497337,0.02404328841349694,0.0,-0.2770964614578923,0.3339616702049793,0.8223867481553536,0.053664077732157325
11,39.66929824561404,285,111.11815939210344,0.01832911145738693,0.0,-0.3675554500987289,0.42755710025883803,0.8702929104947101,-0.5763586921516344
12,51.70842105263158,285,131.84753167624288,0.0201172466258465,0.0,-0.43255418597717515,0.38585728387821094,0.6192925423604037,-0.8402465518802332
13,73.62665505226481,287,170.77702613204892,0.03803145087342329,0.0,-0.19176426664293642,0.2456846812960725,0.9115721479038689,0.2885440424947307
14,58.830612244897964,294,103.93511592242625,0.01005652889480419,0.0,0.646101661266991,-0.3418876640933551,0.39930926670665107,-0.5619429070356504
15,53.136483516483516,273,91.72441359102983,0.009193709014227726,0.0,0.6302393413254995,-0.23503190734534127,0.4290106436990242,-0.5010115786064882
16,69.54863157894737,285,146.32767721898662,0.03701793948130326,0.0,-0.36565814926502577,0.4281326205022016,1.125054621018165,0.6954796572838472
17,62.7499298245614,285,150.62742995057766,0.03791905698959247,0.0035087719298245615,-0.5130455695400493,0.5097742615387961,1.1273819308960487,0.6274375669672304
18,61.337438596491225,285,131.44916373750482,0.04631790955562854,0.0,-0.3692792697964927,0.488810038880888,0.9832524686755924,0.5209664065440929
19,70.71600000000001,285,168.37309457541423,0.04864816906743263,0.0,-0.44820141916033035,0.34889241063779347,1.0231727015377534,0.5354585753555455
20,83.9561052631579,285,187.3158292903602,0.055839232470445296,0.0,-0.5237261843885335,0.48530533852850044,0.903102946497293,0.6812821902385574
21,61.49183098591549,284,111.1003462581693,0.05671119885486624,0.0035211267605633804,-0.24755164515499503,0.3169964977739514,1.1462375816352324,0.5538438080619937
22,59.173298245614035,285,118.13677221017258,0.041396527887038514,0.031578947368421054,-0.38993887483271705,0.585524085672431,0.8920539802990851,0.8101192173362772
